rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,param_model__eta0,param_model__l1_ratio,param_model__penalty,params,split0_test_score,split0_train_score
37,-0.3324914686725792,0.0,-1.0005444759800255,0.0,4.16551661491394,0.0,0.012302875518798828,0.0,0.075,0.015,0.15,l2,"{'model__alpha': 0.075, 'model__eta0': 0.015, 'model__l1_ratio': 0.15, 'model__penalty': 'l2'}",-0.3324914686725792,-1.0005444759800255
37,-0.3324914686725792,0.0,-1.0005444759800255,0.0,3.5486741065979004,0.0,0.012385129928588867,0.0,0.075,0.015,0.2,l2,"{'model__alpha': 0.075, 'model__eta0': 0.015, 'model__l1_ratio': 0.2, 'model__penalty': 'l2'}",-0.3324914686725792,-1.0005444759800255
37,-0.3324914686725792,0.0,-1.0005444759800255,0.0,5.0596604347229,0.0,0.012619733810424805,0.0,0.075,0.015,0.25,l2,"{'model__alpha': 0.075, 'model__eta0': 0.015, 'model__l1_ratio': 0.25, 'model__penalty': 'l2'}",-0.3324914686725792,-1.0005444759800255
40,-0.33249158809824997,0.0,-0.9995242812071,0.0,4.212595462799072,0.0,0.01516580581665039,0.0,0.07,0.012,0.15,l2,"{'model__alpha': 0.07, 'model__eta0': 0.012, 'model__l1_ratio': 0.15, 'model__penalty': 'l2'}",-0.33249158809824997,-0.9995242812071
40,-0.33249158809824997,0.0,-0.9995242812071,0.0,3.9845268726348877,0.0,0.015459299087524414,0.0,0.07,0.012,0.2,l2,"{'model__alpha': 0.07, 'model__eta0': 0.012, 'model__l1_ratio': 0.2, 'model__penalty': 'l2'}",-0.33249158809824997,-0.9995242812071
40,-0.33249158809824997,0.0,-0.9995242812071,0.0,3.5037925243377686,0.0,0.01746201515197754,0.0,0.07,0.012,0.25,l2,"{'model__alpha': 0.07, 'model__eta0': 0.012, 'model__l1_ratio': 0.25, 'model__penalty': 'l2'}",-0.33249158809824997,-0.9995242812071
43,-0.3324930563182784,0.0,-1.0005716146726928,0.0,3.479435443878174,0.0,0.012539148330688477,0.0,0.08,0.015,0.15,l2,"{'model__alpha': 0.08, 'model__eta0': 0.015, 'model__l1_ratio': 0.15, 'model__penalty': 'l2'}",-0.3324930563182784,-1.0005716146726928
43,-0.3324930563182784,0.0,-1.0005716146726928,0.0,5.099264621734619,0.0,0.012716531753540039,0.0,0.08,0.015,0.2,l2,"{'model__alpha': 0.08, 'model__eta0': 0.015, 'model__l1_ratio': 0.2, 'model__penalty': 'l2'}",-0.3324930563182784,-1.0005716146726928
43,-0.3324930563182784,0.0,-1.0005716146726928,0.0,3.408266067504883,0.0,0.012484550476074219,0.0,0.08,0.015,0.25,l2,"{'model__alpha': 0.08, 'model__eta0': 0.015, 'model__l1_ratio': 0.25, 'model__penalty': 'l2'}",-0.3324930563182784,-1.0005716146726928
46,-0.332493058944265,0.0,-0.9994940762726479,0.0,3.424328088760376,0.0,0.013454198837280273,0.0,0.065,0.012,0.15,l2,"{'model__alpha': 0.065, 'model__eta0': 0.012, 'model__l1_ratio': 0.15, 'model__penalty': 'l2'}",-0.332493058944265,-0.9994940762726479
46,-0.332493058944265,0.0,-0.9994940762726479,0.0,4.015111207962036,0.0,0.012705326080322266,0.0,0.065,0.012,0.2,l2,"{'model__alpha': 0.065, 'model__eta0': 0.012, 'model__l1_ratio': 0.2, 'model__penalty': 'l2'}",-0.332493058944265,-0.9994940762726479
46,-0.332493058944265,0.0,-0.9994940762726479,0.0,4.12798547744751,0.0,0.012522459030151367,0.0,0.065,0.012,0.25,l2,"{'model__alpha': 0.065, 'model__eta0': 0.012, 'model__l1_ratio': 0.25, 'model__penalty': 'l2'}",-0.332493058944265,-0.9994940762726479
49,-0.332502921065394,0.0,-0.9993142090748558,0.0,3.5217912197113037,0.0,0.014577627182006836,0.0,0.08,0.011,0.15,l2,"{'model__alpha': 0.08, 'model__eta0': 0.011, 'model__l1_ratio': 0.15, 'model__penalty': 'l2'}",-0.332502921065394,-0.9993142090748558
49,-0.332502921065394,0.0,-0.9993142090748558,0.0,4.615577936172485,0.0,0.01995849609375,0.0,0.08,0.011,0.2,l2,"{'model__alpha': 0.08, 'model__eta0': 0.011, 'model__l1_ratio': 0.2, 'model__penalty': 'l2'}",-0.332502921065394,-0.9993142090748558
49,-0.332502921065394,0.0,-0.9993142090748558,0.0,3.500577926635742,0.0,0.012636899948120117,0.0,0.08,0.011,0.25,l2,"{'model__alpha': 0.08, 'model__eta0': 0.011, 'model__l1_ratio': 0.25, 'model__penalty': 'l2'}",-0.332502921065394,-0.9993142090748558
52,-0.3325046423579956,0.0,-0.9992895963127352,0.0,6.516724586486816,0.0,0.01286625862121582,0.0,0.075,0.011,0.15,l2,"{'model__alpha': 0.075, 'model__eta0': 0.011, 'model__l1_ratio': 0.15, 'model__penalty': 'l2'}",-0.3325046423579956,-0.9992895963127352
52,-0.3325046423579956,0.0,-0.9992895963127352,0.0,3.471477508544922,0.0,0.012341022491455078,0.0,0.075,0.011,0.2,l2,"{'model__alpha': 0.075, 'model__eta0': 0.011, 'model__l1_ratio': 0.2, 'model__penalty': 'l2'}",-0.3325046423579956,-0.9992895963127352
52,-0.3325046423579956,0.0,-0.9992895963127352,0.0,3.9451427459716797,0.0,0.011884450912475586,0.0,0.075,0.011,0.25,l2,"{'model__alpha': 0.075, 'model__eta0': 0.011, 'model__l1_ratio': 0.25, 'model__penalty': 'l2'}",-0.3325046423579956,-0.9992895963127352
55,-0.3325066722004191,0.0,-0.9992637963603813,0.0,3.484978437423706,0.0,0.012540578842163086,0.0,0.07,0.011,0.15,l2,"{'model__alpha': 0.07, 'model__eta0': 0.011, 'model__l1_ratio': 0.15, 'model__penalty': 'l2'}",-0.3325066722004191,-0.9992637963603813
55,-0.3325066722004191,0.0,-0.9992637963603813,0.0,5.197965621948242,0.0,0.012975454330444336,0.0,0.07,0.011,0.2,l2,"{'model__alpha': 0.07, 'model__eta0': 0.011, 'model__l1_ratio': 0.2, 'model__penalty': 'l2'}",-0.3325066722004191,-0.9992637963603813
55,-0.3325066722004191,0.0,-0.9992637963603813,0.0,3.4865310192108154,0.0,0.012686491012573242,0.0,0.07,0.011,0.25,l2,"{'model__alpha': 0.07, 'model__eta0': 0.011, 'model__l1_ratio': 0.25, 'model__penalty': 'l2'}",-0.3325066722004191,-0.9992637963603813
58,-0.3325090367840348,0.0,-0.9992368064943904,0.0,4.28387975692749,0.0,0.03477644920349121,0.0,0.065,0.011,0.15,l2,"{'model__alpha': 0.065, 'model__eta0': 0.011, 'model__l1_ratio': 0.15, 'model__penalty': 'l2'}",-0.3325090367840348,-0.9992368064943904
58,-0.3325090367840348,0.0,-0.9992368064943904,0.0,3.512739896774292,0.0,0.01296377182006836,0.0,0.065,0.011,0.2,l2,"{'model__alpha': 0.065, 'model__eta0': 0.011, 'model__l1_ratio': 0.2, 'model__penalty': 'l2'}",-0.3325090367840348,-0.9992368064943904
58,-0.3325090367840348,0.0,-0.9992368064943904,0.0,4.907156705856323,0.0,0.012282848358154297,0.0,0.065,0.011,0.25,l2,"{'model__alpha': 0.065, 'model__eta0': 0.011, 'model__l1_ratio': 0.25, 'model__penalty': 'l2'}",-0.3325090367840348,-0.9992368064943904
61,-0.33277527515127836,0.0,-0.9984612600426994,0.0,3.397953748703003,0.0,0.012740850448608398,0.0,0.065,0.012,0.15,elasticnet,"{'model__alpha': 0.065, 'model__eta0': 0.012, 'model__l1_ratio': 0.15, 'model__penalty': 'elasticnet'}",-0.33277527515127836,-0.9984612600426994
